SMEs,Location,Activity,"Turnover January,2018 (Pounds in millions)","Pre-tax Profit January,2018 (Pounds in millions)",Tax 2018 (Pounds in millions) ,"No of Employee January,2018","Turnover Febuary,2018 (Pounds in millions)","Pre-tax Profit Febuary,2018 (Pounds in millions)","Tax Febuary,2018 (Pounds in millions)","No of Employee Febuary,2018","Turnover March,2018 (Pounds in millions)","Pre-tax Profit March,2018 (Pounds in millions)","Tax March,2018 (Pounds in millions)","No of Employee March,2018","Pre-tax Profit April,2018 (Pounds in millions)","Tax April,2018 (Pounds in millions)","No of Employee April,2018","Turnover May,2018 (Pounds in millions)","Pre-tax Profit May,2018 (Pounds in millions)","Tax May,2018 (Pounds in millions)","No of Employee May,2018","Turnover June,2018 (Pounds in millions)","Pre-tax Profit June,2018 (Pounds in millions)","Tax June,2018 (Pounds in millions)","No of Employee June,2018","Turnover July,2018 (Pounds in millions)","Pre-tax Profit July,2018 (Pounds in millions)","Tax July,2018 (Pounds in millions)","No of Employee July,2018","Turnover August,2018 (Pounds in millions)","Pre-tax Profit August,2018 (Pounds in millions)","Tax August,2018 (Pounds in millions)","No of Employee August,2018","Turnover September,2018 (Pounds in millions)","Pre-tax Profit September,2018 (Pounds in millions)","Tax September,2018 (Pounds in millions)","No of Employee September,2018","Turnover October,2018 (Pounds in millions)","Pre-tax Profit October,2018 (Pounds in millions)","Tax October,2018 (Pounds in millions)","No of Employee October,2018","Turnover November,2018 (Pounds in millions)","Pre-tax Profit November,2018 (Pounds in millions)","Tax November,2018 (Pounds in millions)","No of Employee November,2018","Turnover December,2018 (Pounds in millions)","Pre-tax Profit December,2018 (Pounds in millions)","Tax December,2018 (Pounds in millions)","No of Employee December,2018","Turnover January,2019 (Pounds in millions)","Pre-tax Profit January,2019 (Pounds in millions)","Tax January,2019 (Pounds in millions)","No of Employee January,2019","Turnover Febuary,2019 (Pounds in millions)","Pre-tax Profit Febaury,2019 (Pounds in millions)","Tax Febuary,2019 (Pounds in millions)","No of Employee Febuary,2019","Turnover March,2019 (Pounds in millions)","Pre-tax Profit March,2019 (Pounds in millions)","Tax March,2019 (Pounds in millions)","No of Employee March,2019","Turnover April,2019 (Pounds in millions)","Pre-tax Profit April,2019 (Pounds in millions)","Tax April,2019 (Pounds in millions)","No of Employee April,2019","Turnover May,2019 (Pounds in millions)","Pre-tax Profit May,2019 (Pounds in millions)","Tax May,2019 (Pounds in millions)","No of Employee May,2019","Turnover June,2019 (Pounds in millions)","Pre-tax Profit June,2019 (Pounds in millions)","Tax June,2019 (Pounds in millions)","No of Employee June,2019","Turnover July,2019 (Pounds in millions)","Pre-tax Profit July,2019 (Pounds in millions)","Tax July,2019 (Pounds in millions)","No of Employee July,2019","Turnover August,2019 (Pounds in millions)","Pre-tax Profit August,2019 (Pounds in millions)","Tax August,2019 (Pounds in millions)","No of Employee August,2019","Turnover September,2019 (Pounds in millions)","Pre-tax Profit Semptember,2019 (Pounds in millions)","Tax September,2019 (Pounds in millions)","No of Employee September,2019","Turnover October,2019 (Pounds in millions)","Pre-tax Profit October,2019 (Pounds in millions)","Tax October,2019 (Pounds in millions)","No of Employee October,2019","Turnover November,2019 (Pounds in millions)","Pre-tax Profit November,2019 (Pounds in millions)","Tax November,2019 (Pounds in millions)","No of Employee November,2019","Turnover December,2019 (Pounds in millions)","Pre-tax Profit December,2019 (Pounds in millions)","Tax December,2019 (Pounds in millions)","No of Employee December,2019","Turnover January,2020 (Pounds in millions)","Pre-tax Profit January,2020 (Pounds in millions)","Tax Janauary,2020 (Pounds in millions)","No of Employee January,2020","Turnover Febuary,2020 (Pounds in millions)","Pre-tax Profit Febuary,2020 (Pounds in millions)","Tax Febuary,2020 (Pounds in millions)","No of Employee Febuary,2020","Turnover March,2020 (Pounds in millions)","Pre-tax Profit March,2020 (Pounds in millions)","Tax March,2020 (Pounds in millions)","No of Employee March,2020","Turnover April,2020 (Pounds in millions)","Pre-tax Profit April,2020 (Pounds in millions)","Tax April,2020 (Pounds in millions)","No of Employee April,2020","Turnover May,2020 (Pounds in millions)","Pre-tax Profit May,2020 (Pounds in millions)","Tax May,2020 (Pounds in millions)","No of Employee May,2020","Turnover June,2020 (Pounds in millions)","Pre-Tax June,2020 (Pounds in millions)","Tax June,2020 (Pounds in millions)","No of Employee June,2020","Turnover July,2020 (Pounds in millions)","Pre-Tax July,2020 (Pounds in millions)","Tax July,2020 (Pounds in millions)","No of Employee July,2020","Turnover August,2020 (Pounds in millions)","Pre-Tax August,2020 (Pounds in millions)","Tax August,2020 (Pounds in millions)","No of Employee August,2020","Turnover September,2020 (Pounds in millions)","Pre-Tax September,2020 (Pounds in millions)","Tax September,2020 (Pounds in millions)","No of Employee September,2020","Turnover October,2020 (Pounds in millions)","Pre-Tax October,2020 (Pounds in millions)","Tax October,2020 (Pounds in millions)","No of Employee October,2020","Turnover November,2020 (Pounds in millions)","Pre-Tax November,2020 (Pounds in millions)","Tax November,2020 (Pounds in millions)","No of Employee November,2020","Turnover December,2020 (Pounds in millions)","Pre-Tax December,2020 (Pounds in millions)","Tax December,2020 (Pounds in millions)","No of Employee December,2020","Turnover January,2021 (Pounds in millions)","Pre-Tax January,2021 (Pounds in millions)","Tax January,2021 (Pounds in millions)","No of Employee January,2021","Turnover Febuary,2021 (Pounds in millions)","Pre-Tax Febuary,2021 (Pounds in millions)","Tax Febuary,2021 (Pounds in millions)","No of Employee Febuary,2021","Turnover March,2021 (Pounds in millions)","Pre-Tax March,2021 (Pounds in millions)","Tax March,2021 (Pounds in millions)","No of Employee March,2021","Turnover April,2021 (Pounds in millions)","Pre-Tax April,2021 (Pounds in millions)","Tax April,2021 (Pounds in millions)","No of Employee April,2021","Turnover May,2021 (Pounds in millions)","Pre-Tax May,2021 (Pounds in millions)","Tax May,2021 (Pounds in millions)","No of Employee May,2021","Turnover June,2021 (Pounds in millions)","Pre-Tax June,2021 (Pounds in millions)","Tax June,2021 (Pounds in millions)","No of Employee June,2021","Turnover July,2021 (Pounds in millions)","Pre-Tax July,2021 (Pounds in millions)","Tax July,2021 (Pounds in millions)","No of Employee July,2021","Turnover August,2021 (Pounds in millions)","Pre-Tax August,2021 (Pounds in millions)","Tax August,2021 (Pounds in millions)","No of Employee August,2021","Turnover September,2021 (Pounds in millions)","Pre-Tax September,2021 (Pounds in millions)","Tax September,2021 (Pounds in millions)","No of Employee September,2021","Turnover October,2021 (Pounds in millions)","Pre-Tax October,2021 (Pounds in millions)","Tax October,2021 (Pounds in millions)","No of Employee October,2021","Turnover November,2021 (Pounds in millions)","Pre-Tax November,2021 (Pounds in millions)","Tax November,2021 (Pounds in millions)","No of Employee November,2021","Turnover December,2021 (Pounds in millions)","Pre-Tax December,2021 (Pounds in millions)","Tax December,2021 (Pounds in millions)","No of Employee Dcember,2021","Turnover January,2022 (Pounds in millions)","Pre-Tax January,2022 (Pounds in millions)","Tax January,2022 (Pounds in millions)","No of Employee January,2022","Turnover Febuary,2022 (Pounds in millions)","Pre-Tax Febuary,2022 (Pounds in millions)","Tax Febuary,2022 (Pounds in millions)","No of Employee Febuary,2022","Turnover March,2022(Pounds in millions)",Pre-Tax March2022 (Pounds in millions),"Tax March,2022 (Pounds in millions)","No of Employee March,2022","Turnover April,2022 (Pounds in millions)","Pre-Tax April,2022 (Pounds in millions)","Tax April,2022 (Pounds in millions)","No of Employee April,2022","Turnover May,2022 (Pounds in millions)","Pre-Tax May,2022 (Pounds in millions)","Tax May,2022 (Pounds in millions)","No of Employee May,2022","Turnover June,2022 (Pounds in millions)","Pre-Tax June,2022 (Pounds in millions)","Tax June,2022 (Pounds in millions)","No of Employee June,2022","Turnover July,2022 (Pounds in millions)","Pre-Tax July,2022 (Pounds in millions)","Tax July,2022 (Pounds in millions)","No of Employee July,2022","Turnover August,2022 (Pounds in millions)","Pre-Tax August,2022 (Pounds in millions)","Tax August,2022 (Pounds in millions)","No of Employee August,2022","Turnover September,2022 (Pounds in millions)","Pre-Tax September,2022 (Pounds in millions)","Tax September,2022 (Pounds in millions)","No of Employee September,2022","Turnover October,2022 (Pounds in millions)","Pre-Tax October,2022 (Pounds in millions)","Tax October,2022 (Pounds in millions)","No of Employee October,2022","Turnover November,2022 (Pounds in millions)","Pre-Tax November,2022 (Pounds in millions)","Tax November,2022 (Pounds in millions)","No of Employee November,2022","Turnover December,2022 (Pounds in millions)","Pre-Tax December,2022 (Pounds in millions)","Tax December,2022 (Pounds in millions)","No of Employee December,2022","Turnover January,2023 (Pounds in millions)","Pre-Tax January,2023 (Pounds in millions)","Tax January,2023 (Pounds in millions)","No of Employee January,2023","Turnover Febuary,2023 (Pounds in millions)","Pre-tax Profit Febuary,2023 (Pounds in millions)","Tax Febuary,2023 (Pounds in millions)","No of Employee Febuary,2023",
HERITAGE (NORTH WALES),Bangor,Property development,14.30,6.10,0.79,50,14.73,6.71,1.34,50,15.30,7.38,1.48,50,6.71,1.34,50,16.45,7.05,1.41,50,17.02,6.84,1.37,52,17.73,6.86,1.37,52,18.30,6.72,1.34,52,18.59,7.05,1.41,52,19.16,6.71,1.34,52,19.31,6.84,1.37,52,19.69,7.05,1.41,52,20.27,7.11,1.42,52,21.04,7.25,1.45,52,21.88,7.39,1.48,52,22.54,7.54,1.51,52,23.44,7.92,1.58,53,24.38,6.84,1.37,54,24.87,6.71,1.34,54,26.11,8.72,1.74,54,26.63,8.79,1.76,54,27.17,9.50,1.90,54,27.44,7.18,1.44,54,27.99,7.38,1.48,54,28.27,8.86,1.77,54,28.52,9.65,1.93,54,28.78,4.78,0.96,54,28.92,5.26,1.05,54,29.15,5.36,1.07,54,29.36,5.47,1.09,54,29.53,5.63,1.13,54,29.77,6.14,1.23,54,30.01,6.33,1.27,56,30.19,5.80,1.16,56,30.46,6.14,1.23,56,30.61,5.75,1.15,56,30.76,6.03,1.21,56,30.83,6.16,1.23,56,31.10,6.40,1.28,56,32.04,6.59,1.32,56,32.36,6.79,1.36,56,32.65,6.86,1.37,56,33.63,7.00,1.40,56,33.96,6.45,1.29,56,34.64,6.71,1.34,56,35.34,6.97,1.39,56,36.04,7.25,1.45,56,36.76,7.54,1.51,56,37.50,5.98,1.20,56,37.87,6.52,1.30,56,38.25,6.16,1.23,58,38.60,6.40,1.28,58,38.98,6.53,1.31,58,39.29,6.66,1.33,58,39.65,6.86,1.37,58,39.97,7.27,1.45,58,43.96,7.06,1.41,58,44.36,6.97,1.39,59,44.80,7.10,1.42,60,45.20,7.39,1.48,60,45.66,8.86,1.77,60,46.07,10.64,2.13,60,
ITEC TRAINING SOLUTIONS,Cardiff,Training provider,12.70,2,0.26,23,13.08,2.20,0.44,23,13.59,2.42,0.48,23,2.20,0.44,23,14.61,2.31,0.46,23,15.11,2.24,0.45,25,15.75,2.25,0.45,25,16.26,2.20,0.44,25,16.51,2.31,0.46,25,17.02,2.20,0.44,25,17.15,2.24,0.45,25,17.49,2.31,0.46,25,18.00,2.33,0.47,25,18.69,2.38,0.48,25,19.44,2.42,0.48,25,20.02,2.47,0.49,25,20.82,2.60,0.52,26,21.65,2.24,0.45,27,22.09,2.20,0.44,27,23.19,2.86,0.57,27,23.65,2.88,0.58,27,24.13,3.11,0.62,27,24.37,2.35,0.47,27,24.85,2.42,0.48,27,25.10,2.90,0.58,27,25.33,3.17,0.63,27,25.56,3.42,0.68,27,25.69,3.76,0.75,27,25.89,3.84,0.77,27,26.07,3.91,0.78,27,26.23,4.03,0.81,27,26.44,4.39,0.88,27,26.65,4.52,0.90,29,26.81,4.15,0.83,29,27.05,4.39,0.88,29,27.19,4.11,0.82,29,27.32,4.32,0.86,29,27.38,4.40,0.88,29,27.62,4.58,0.92,29,28.45,4.72,0.94,29,28.74,4.86,0.97,29,28.99,4.91,0.98,29,29.86,5.00,1.00,29,30.16,4.61,0.92,29,30.77,4.80,0.96,29,31.38,4.99,1.00,29,32.01,5.19,1.04,29,32.65,5.40,1.08,29,33.30,4.27,0.85,29,33.64,4.66,0.93,29,33.97,4.40,0.88,31,34.28,4.58,0.92,31,34.62,4.67,0.93,31,34.90,4.76,0.95,31,35.21,4.91,0.98,31,35.49,5.20,1.04,31,39.04,5.05,1.01,31,39.39,4.99,1.00,32,39.79,5.08,1.02,33,40.15,5.28,1.06,33,40.55,6.34,1.27,33,40.91,7.61,1.52,33,
CARPENTER & PATERSON,Welshpool,Pipe supports,12.4,1.2,0.16,44,12.77,1.32,0.26,44,13.27,1.45,0.29,44,1.32,0.26,44,14.26,1.39,0.28,44,14.76,1.35,0.27,46,15.38,1.35,0.27,46,15.87,1.32,0.26,46,16.12,1.39,0.28,46,16.62,1.32,0.26,46,16.74,1.35,0.27,46,17.07,1.39,0.28,46,17.58,1.40,0.28,46,18.25,1.43,0.29,46,18.98,1.45,0.29,46,19.55,1.48,0.30,46,20.33,1.56,0.31,47,21.14,1.35,0.27,48,21.56,1.32,0.26,48,22.64,1.72,0.34,48,23.09,1.73,0.35,48,23.56,1.87,0.37,48,23.79,1.41,0.28,48,24.27,1.45,0.29,48,24.51,1.74,0.35,48,24.73,1.90,0.38,48,24.95,2.05,0.41,48,25.08,2.26,0.45,48,25.28,2.30,0.46,48,25.46,2.35,0.47,48,25.61,2.42,0.48,48,25.81,2.64,0.53,48,26.02,2.71,0.54,50,26.18,2.49,0.50,50,26.41,2.64,0.53,50,26.54,2.47,0.49,50,26.68,2.59,0.52,50,26.73,2.64,0.53,50,26.97,2.75,0.55,50,27.78,2.83,0.57,50,28.06,2.91,0.58,50,28.31,2.94,0.59,50,29.16,3.00,0.60,50,29.45,2.77,0.55,50,30.04,2.88,0.58,50,30.64,2.99,0.60,50,31.25,3.11,0.62,50,31.88,3.24,0.65,50,32.52,2.56,0.51,50,32.84,2.80,0.56,50,33.17,2.64,0.53,52,33.47,2.75,0.55,52,33.80,2.80,0.56,52,34.07,2.86,0.57,52,34.38,2.94,0.59,52,34.66,3.12,0.62,52,38.12,3.03,0.61,52,38.46,2.99,0.60,53,38.85,3.05,0.61,54,39.20,3.17,0.63,54,39.59,3.80,0.76,54,39.95,4.56,0.91,54,
MARLIN INDUSTRIES,Wrexham,Timber based packaging for cables,12.6,0.9,0.12,43,12.98,0.99,0.20,43,13.48,1.09,0.22,43,0.99,0.20,43,14.49,1.04,0.21,43,14.99,1.01,0.20,45,15.62,1.01,0.20,45,16.13,0.99,0.20,45,16.38,1.04,0.21,45,16.88,0.99,0.20,45,17.01,1.01,0.20,45,17.35,1.04,0.21,45,17.86,1.05,0.21,45,18.54,1.07,0.21,45,19.28,1.09,0.22,45,19.86,1.11,0.22,45,20.66,1.17,0.23,46,21.48,1.01,0.20,47,21.91,0.99,0.20,47,23.01,1.29,0.26,47,23.47,1.30,0.26,47,23.94,1.40,0.28,47,24.18,1.06,0.21,47,24.66,1.09,0.22,47,24.91,1.31,0.26,47,25.13,1.42,0.28,47,25.36,1.54,0.31,47,25.48,1.69,0.34,47,25.69,1.73,0.35,47,25.87,1.76,0.35,47,26.02,1.81,0.36,47,26.23,1.98,0.40,47,26.44,2.04,0.41,49,26.60,1.87,0.37,49,26.84,1.98,0.40,49,26.97,1.85,0.37,49,27.11,1.94,0.39,49,27.16,1.98,0.40,49,27.41,2.06,0.41,49,28.23,2.12,0.42,49,28.51,2.19,0.44,49,28.77,2.21,0.44,49,29.63,2.25,0.45,49,29.93,2.08,0.42,49,30.52,2.16,0.43,49,31.13,2.24,0.45,49,31.76,2.33,0.47,49,32.39,2.43,0.49,49,33.04,1.92,0.38,49,33.37,2.10,0.42,49,33.70,1.98,0.40,51,34.01,2.06,0.41,51,34.35,2.10,0.42,51,34.62,2.14,0.43,51,34.93,2.21,0.44,51,35.21,2.34,0.47,51,38.74,2.27,0.45,51,39.08,2.24,0.45,52,39.47,2.29,0.46,53,39.83,2.38,0.48,53,40.23,2.85,0.57,53,40.59,3.42,0.68,53,
GROUNDHOG,Neath,Secure containers,9.1,2.1,0.27,34,9.37,2.31,0.46,34,9.74,2.54,0.51,34,2.31,0.46,34,10.47,2.43,0.49,34,10.83,2.36,0.47,36,11.28,2.36,0.47,36,11.65,2.31,0.46,36,11.83,2.43,0.49,36,12.19,2.31,0.46,36,12.29,2.36,0.47,36,12.53,2.43,0.49,36,12.90,2.45,0.49,36,13.39,2.49,0.50,36,13.93,2.54,0.51,36,14.34,2.60,0.52,36,14.92,2.73,0.55,37,15.51,2.36,0.47,38,15.82,2.31,0.46,38,16.62,3.00,0.60,38,16.95,3.03,0.61,38,17.29,3.27,0.65,38,17.46,2.47,0.49,38,17.81,2.54,0.51,38,17.99,3.05,0.61,38,18.15,3.32,0.66,38,18.31,3.59,0.72,38,18.40,3.95,0.79,38,18.55,4.03,0.81,38,18.68,4.11,0.82,38,18.79,4.23,0.85,38,18.94,4.61,0.92,38,19.10,4.75,0.95,40,19.21,4.36,0.87,40,19.38,4.61,0.92,40,19.48,4.32,0.86,40,19.58,4.53,0.91,40,19.62,4.62,0.92,40,19.79,4.81,0.96,40,20.39,4.95,0.99,40,20.59,5.10,1.02,40,20.78,5.15,1.03,40,21.40,5.25,1.05,40,21.61,4.84,0.97,40,22.05,5.04,1.01,40,22.49,5.24,1.05,40,22.94,5.45,1.09,40,23.39,5.67,1.13,40,23.86,4.49,0.90,40,24.10,4.89,0.98,40,24.34,4.62,0.92,42,24.56,4.81,0.96,42,24.81,4.90,0.98,42,25.01,5.00,1.00,42,25.23,5.15,1.03,42,25.43,5.46,1.09,42,27.98,5.30,1.06,42,28.23,5.23,1.05,43,28.51,5.33,1.07,44,28.77,5.55,1.11,44,29.05,6.66,1.33,44,29.32,7.99,1.60,44,
VICTORIAN HOUSE (SALES),Ammanford,Double glazed windows,10.1,1,0.13,23,10.40,1.10,0.22,23,10.81,1.21,0.24,23,1.10,0.22,23,11.62,1.16,0.23,23,12.02,1.12,0.22,25,12.52,1.12,0.22,25,12.93,1.10,0.22,25,13.13,1.16,0.23,25,13.53,1.10,0.22,25,13.64,1.12,0.22,25,13.91,1.16,0.23,25,14.32,1.17,0.23,25,14.86,1.19,0.24,25,15.46,1.21,0.24,25,15.92,1.24,0.25,25,16.56,1.30,0.26,26,17.22,1.12,0.22,27,17.56,1.10,0.22,27,18.44,1.43,0.29,27,18.81,1.44,0.29,27,19.19,1.56,0.31,27,19.38,1.18,0.24,27,19.77,1.21,0.24,27,19.96,1.45,0.29,27,20.14,1.58,0.32,27,20.33,1.71,0.34,27,20.43,1.88,0.38,27,20.59,1.92,0.38,27,20.73,1.96,0.39,27,20.86,2.01,0.40,27,21.03,2.20,0.44,27,21.19,2.26,0.45,29,21.32,2.08,0.42,29,21.51,2.20,0.44,29,21.62,2.06,0.41,29,21.73,2.16,0.43,29,21.77,2.20,0.44,29,21.97,2.29,0.46,29,22.63,2.36,0.47,29,22.85,2.43,0.49,29,23.06,2.45,0.49,29,23.75,2.50,0.50,29,23.99,2.31,0.46,29,24.47,2.40,0.48,29,24.96,2.49,0.50,29,25.46,2.59,0.52,29,25.97,2.70,0.54,29,26.48,2.14,0.43,29,26.75,2.33,0.47,29,27.02,2.20,0.44,31,27.26,2.29,0.46,31,27.53,2.34,0.47,31,27.75,2.38,0.48,31,28.00,2.45,0.49,31,28.23,2.60,0.52,31,31.05,2.52,0.50,31,31.33,2.49,0.50,32,31.64,2.54,0.51,33,31.93,2.64,0.53,33,32.25,3.17,0.63,33,32.54,3.80,0.76,33,
DAVID DAVIES (WHOLESALE DRAPERS),Cardiff,"Textile import, distribution and sale",11.7,0.6,0.08,56,12.05,0.66,0.13,56,12.52,0.73,0.15,56,0.66,0.13,56,13.46,0.69,0.14,56,13.92,0.67,0.13,58,14.51,0.67,0.13,58,14.98,0.66,0.13,58,15.21,0.69,0.14,58,15.68,0.66,0.13,58,15.80,0.67,0.13,58,16.11,0.69,0.14,58,16.58,0.70,0.14,58,17.22,0.71,0.14,58,17.91,0.73,0.15,58,18.44,0.74,0.15,58,19.18,0.78,0.16,59,19.95,0.67,0.13,60,20.35,0.66,0.13,60,21.36,0.86,0.17,60,21.79,0.86,0.17,60,22.23,0.93,0.19,60,22.45,0.71,0.14,60,22.90,0.73,0.15,60,23.13,0.87,0.17,60,23.33,0.95,0.19,60,23.54,1.03,0.21,60,23.66,1.13,0.23,60,23.85,1.15,0.23,60,24.02,1.17,0.23,60,24.16,1.21,0.24,60,24.36,1.32,0.26,60,24.55,1.36,0.27,62,24.70,1.25,0.25,62,24.92,1.32,0.26,62,25.05,1.23,0.25,62,25.17,1.29,0.26,62,25.22,1.32,0.26,62,25.45,1.37,0.27,62,26.21,1.41,0.28,62,26.47,1.46,0.29,62,26.71,1.47,0.29,62,27.51,1.50,0.30,62,27.79,1.38,0.28,62,28.34,1.44,0.29,62,28.91,1.50,0.30,62,29.49,1.56,0.31,62,30.08,1.62,0.32,62,30.68,1.28,0.26,62,30.99,1.40,0.28,62,31.30,1.32,0.26,64,31.58,1.37,0.27,64,31.89,1.40,0.28,64,32.15,1.43,0.29,64,32.44,1.47,0.29,64,32.70,1.56,0.31,64,35.97,1.51,0.30,64,36.29,1.50,0.30,65,36.66,1.52,0.30,66,36.99,1.58,0.32,66,37.35,1.90,0.38,66,37.69,2.28,0.46,66,
DAVID SPEAR COMMERCIALS,Cardiff,Sale of commercial vehicles,11.5,0.50,0.07,54,11.85,0.55,0.11,54,12.31,0.61,0.12,54,0.55,0.11,54,13.23,0.58,0.12,54,13.69,0.56,0.11,56,14.26,0.56,0.11,56,14.72,0.55,0.11,56,14.95,0.58,0.12,56,15.41,0.55,0.11,56,15.53,0.56,0.11,56,15.84,0.58,0.12,56,16.30,0.58,0.12,56,16.92,0.59,0.12,56,17.60,0.61,0.12,56,18.13,0.62,0.12,56,18.85,0.65,0.13,57,19.61,0.56,0.11,58,20.00,0.55,0.11,58,21.00,0.72,0.14,58,21.42,0.72,0.14,58,21.85,0.78,0.16,58,22.07,0.59,0.12,58,22.51,0.61,0.12,58,22.73,0.73,0.15,58,22.94,0.79,0.16,58,23.14,0.85,0.17,58,23.26,0.94,0.19,58,23.44,0.96,0.19,58,23.61,0.98,0.20,58,23.75,1.01,0.20,58,23.94,1.10,0.22,58,24.13,1.13,0.23,60,24.28,1.04,0.21,60,24.49,1.10,0.22,60,24.62,1.03,0.21,60,24.74,1.08,0.22,60,24.79,1.10,0.22,60,25.01,1.14,0.23,60,25.76,1.18,0.24,60,26.02,1.21,0.24,60,26.26,1.23,0.25,60,27.04,1.25,0.25,60,27.31,1.15,0.23,60,27.86,1.20,0.24,60,28.42,1.25,0.25,60,28.99,1.30,0.26,60,29.56,1.35,0.27,60,30.16,1.07,0.21,60,30.46,1.16,0.23,60,30.76,1.10,0.22,62,31.04,1.14,0.23,62,31.35,1.17,0.23,62,31.60,1.19,0.24,62,31.88,1.23,0.25,62,32.14,1.30,0.26,62,35.35,1.26,0.25,62,35.67,1.25,0.25,63,36.03,1.27,0.25,64,36.35,1.32,0.26,64,36.72,1.58,0.32,64,37.05,1.90,0.38,64,
SUNDORNE PRODUCTS (LLANIDLOES),Welshpool,Waste management and disposal,7.9,1.2,0.16,24,8.14,1.32,0.26,24,8.45,1.45,0.29,24,1.32,0.26,24,9.09,1.39,0.28,24,9.40,1.35,0.27,26,9.80,1.35,0.27,26,10.11,1.32,0.26,26,10.27,1.39,0.28,26,10.59,1.32,0.26,26,10.67,1.35,0.27,26,10.88,1.39,0.28,26,11.20,1.40,0.28,26,11.62,1.43,0.29,26,12.09,1.45,0.29,26,12.45,1.48,0.30,26,12.95,1.56,0.31,27,13.47,1.35,0.27,28,13.74,1.32,0.26,28,14.42,1.72,0.34,28,14.71,1.73,0.35,28,15.01,1.87,0.37,28,15.16,1.41,0.28,28,15.46,1.45,0.29,28,15.62,1.74,0.35,28,15.76,1.90,0.38,28,15.90,2.05,0.41,28,15.98,2.26,0.45,28,16.11,2.30,0.46,28,16.22,2.35,0.47,28,16.32,2.42,0.48,28,16.45,2.64,0.53,28,16.58,2.71,0.54,30,16.68,2.49,0.50,30,16.83,2.64,0.53,30,16.91,2.47,0.49,30,17.00,2.59,0.52,30,17.03,2.64,0.53,30,17.18,2.75,0.55,30,17.70,2.83,0.57,30,17.88,2.91,0.58,30,18.04,2.94,0.59,30,18.58,3.00,0.60,30,18.76,2.77,0.55,30,19.14,2.88,0.58,30,19.52,2.99,0.60,30,19.91,3.11,0.62,30,20.31,3.24,0.65,30,20.72,2.56,0.51,30,20.92,2.80,0.56,30,21.13,2.64,0.53,32,21.32,2.75,0.55,32,21.54,2.80,0.56,32,21.71,2.86,0.57,32,21.90,2.94,0.59,32,22.08,3.12,0.62,32,24.29,3.03,0.61,32,24.51,2.99,0.60,33,24.75,3.05,0.61,34,24.97,3.17,0.63,34,25.22,3.80,0.76,34,25.45,4.56,0.91,34,
GARRISON BARCLAY EQUITY,Cardiff,Education and care,10.4,0.5,0.07,34,10.71,0.55,0.11,34,11.13,0.61,0.12,34,0.55,0.11,34,11.96,0.58,0.12,34,12.38,0.56,0.11,36,12.90,0.56,0.11,36,13.31,0.55,0.11,36,13.52,0.58,0.12,36,13.94,0.55,0.11,36,14.04,0.56,0.11,36,14.32,0.58,0.12,36,14.74,0.58,0.12,36,15.30,0.59,0.12,36,15.92,0.61,0.12,36,16.39,0.62,0.12,36,17.05,0.65,0.13,37,17.73,0.56,0.11,38,18.09,0.55,0.11,38,18.99,0.72,0.14,38,19.37,0.72,0.14,38,19.76,0.78,0.16,38,19.95,0.59,0.12,38,20.35,0.61,0.12,38,20.56,0.73,0.15,38,20.74,0.79,0.16,38,20.93,0.85,0.17,38,21.03,0.94,0.19,38,21.20,0.96,0.19,38,21.35,0.98,0.20,38,21.48,1.01,0.20,38,21.65,1.10,0.22,38,21.82,1.13,0.23,40,21.95,1.04,0.21,40,22.15,1.10,0.22,40,22.26,1.03,0.21,40,22.37,1.08,0.22,40,22.42,1.10,0.22,40,22.62,1.14,0.23,40,23.30,1.18,0.24,40,23.53,1.21,0.24,40,23.74,1.23,0.25,40,24.46,1.25,0.25,40,24.70,1.15,0.23,40,25.19,1.20,0.24,40,25.70,1.25,0.25,40,26.21,1.30,0.26,40,26.74,1.35,0.27,40,27.27,1.07,0.21,40,27.54,1.16,0.23,40,27.82,1.10,0.22,42,28.07,1.14,0.23,42,28.35,1.17,0.23,42,28.58,1.19,0.24,42,28.83,1.23,0.25,42,29.07,1.30,0.26,42,31.97,1.26,0.25,42,32.26,1.25,0.25,43,32.58,1.27,0.25,44,32.88,1.32,0.26,44,33.20,1.58,0.32,44,33.50,1.90,0.38,44,
